A	N	T1/2	Nu	spin(halfs)
0	1	636	-9.5652135	1
1	1	0	2.792847343	1
1	2	0	0.857438229	2
1	3	388838880	2.978962444	1
2	 3	0	-2.127497723	1
3	 6	0	0.82204736	2
3	 7	0	3.2564272	-3
3	 8	8.42E-13	1.653402	4
3	 9	1.78E-13	3.43916	-3
3	 11	7.7E-15	3.6683	-3
4	 9	0	-1.17789	-3
5	8	0.77	1.03553	4
5	10	0	1.800644786	6
5	11	0	2.68864891	-3
5	12	2.04E-14	1.0027211	2
5	13	1.74E-14	3.17785	-3
5	14	1.38E-14	1.1855	-4
5	15	1.03E-14	2.65915	-3
5	17	5.1E-15	2.552	-3
6	9	1.26E-13	1.39145	-3
6	11	1224	-0.9641	-3
6	12	4.5E-11	0	4
6	13	0	0.702411814	-1
6	14	0.000067	0.822	-6
6	15	2.45	1.327	1
7	12	1.1E-14	0.45735	2
7	13	597.6	0.32224	-1
7	14	0	0.403761006	2
7	15	0	-0.283188845	-1
7	16	0.0000913	1.606	-6
7	17	4.17	0.3522	-1
8	13	#VALUE!	1.38913	-3
8	15	122	0.7195112	-1
8	16	0.0000184	1.66812	-6
8	17	0	-1.893799	5
8	18	0.00000207	-0.573	4
8	19	27	1.531957	5
8	20	0.0000074	0.703	4
9	17	64.5	4.72133	5
9	18	0.000047	1.62	6
9	19	0	2.6288688	1
9	20	11	2.093359	4
9	21	4.16	3.935	5
10	 19	17.3	-1.885428	1
10	 20	0.0000007	1.088	4
10	 21	0	-0.6617975	3
10	 22	0.0000036	0.652	4
10	 23	37.6	-1.081	5
11	 20	0.446	0.36942	4
11	 21	22.5	2.836301	3
11	 22	81993600	1.7463	6
11	 23	0	2.2175222	3
11	 24	54000	1.69038	8
11	 25	60	3.6834	5
11	 26	1.07	2.8512	6
11	 27	0.29	3.8955	5
11	 28	3.05E-14	2.4265	2
11	 29	4.3E-14	2.4498	3
11	 30	5.3E-14	2.0831	-4
11	 31	1.7E-14	2.3058	3
12	 23	11.3	0.53643	3
12	 24	0.00000145	1.024	4
12	 24	0.00000144	0	4
12	 25	0	-0.855458	5
12	 26	4.76E-10	1.03	4
13	 25	7.18	3.645512	5
13	 26	#VALUE!	2.8044	10
13	 27	0	3.64150697	5
13	 28	134.4	3.2425	6
14	 27	4.1	-3.4216	5
14	 28	0.00000049	1.12	4
14	 29	0	-0.555293	1
14	 30	0.00000025	0.82	4
14	 32	0.0000004	0	4
14	 33	6.332	1.213	3
15	29	4.1	1.23493	1
15	31	0	1.131603	1
15	31	1233792	-0.25243	2
16	31	2.6	0.487938	1
16	32	0.00000016	0.92	4
16	33	0	0.643821214	3
16	34	0.00000032	1.02	4
16	35	7551360	0	3
17	 33	2.52	0.7522	3
17	 35	0	0.82187434	3
17	 36	#VALUE!	1.285475	4
17	 37	0	0.68412364	3
17	 38	2238	2.052	-4
18	 33	0.174	-0.7236	1
18	 35	1.78	0.6337	3
18	 36	0.00000028	0	4
18	 37	3024000	0.83	3
18	 39	8483184000	-1.58815	-7
18	 40	0.00000112	-0.22	4
19	36	0.34	0	4
19	37	1.23	0.203216	3
19	38	456.6	1.3716	6
19	39	0	0.391473	3
19	40	#VALUE!	-1.2981003	-8
19	41	0	0.21487012	3
